MSOA11CD,Proportion,Extent,Score,Proportion_Decile,Extent_Decile,Score_Decile
E02000107,0,0.18137731861505094,25.179422019154728,1,1,7
E02000108,0,0.7116990500175332,20.69805981223501,1,9,6
E02000109,0,0.7459408665938968,21.547692966636607,1,9,6
E02000110,0,0.8191222258201111,20.8727315428301,1,10,6
E02000111,0,0.2542882172794912,22.217877004848937,1,2,7
E02000112,0,0.42825788429406847,23.599742559523808,1,5,7
E02000113,0,0.3691719107551487,45.0679723035117,1,4,10
E02000114,0,0.7189656349761852,24.566917720834685,1,9,7
E02000115,0,0.45568549860355084,23.96195340628309,1,6,7
E02000116,0,0.6043286623024072,34.40406928406466,1,8,9
E02000117,0,0.27117919880398217,40.87962306326662,1,3,10
E02000118,0,0.6009340301775237,23.451696060577014,1,8,7
E02000119,0,0.3439778727684184,45.559613402061856,1,4,10
E02000120,0,0.2706987916563533,25.248584865327064,1,3,7
E02000121,0,0.49178814332785037,22.230575781326543,1,6,7
E02000122,0,0.49463495538746627,17.425947625610828,1,6,5
E02000123,0,0.3866109207796462,36.124354966286305,1,5,9
E02000124,0,0.20048832084160625,21.09339867667391,1,1,6
E02000125,0,0.5303886452241715,18.76533574074074,1,7,6
E02000126,0,0.4457119849684606,38.516587840558316,1,6,9
E02000127,0,0.14420572916666666,31.154922960069445,1,1,8
E02000128,0.4,0.571176140170408,11.754557284299858,4,7,3
E02000130,0.2,0.18172194777699366,17.555817572335922,3,1,5
E02000131,0,0.4044258253480764,22.164807626864178,1,5,7
E02000132,0,0.6352722332475002,15.421347252518958,1,8,5
E02000133,0.8333333333333334,0.8025741252740966,6.742223472208981,6,10,1
E02000134,0,0.5383491405404414,15.9732266469153,1,7,5
E02000135,0,0.37248404179626354,33.39903611432986,1,4,9
E02000136,0,0.44534794963995694,20.13959566660842,1,5,6
E02000137,0.8,0.9695309061183425,8.412080286738352,6,10,2
E02000138,1,0.93946572997601,6.405692298391972,6,10,1
E02000139,0,0.681676271645962,12.80906155065381,1,9,4
E02000140,0,0.1807386296164351,35.65832430827693,1,1,9
E02000141,0,0.38791686530101105,15.660851020684062,1,5,5
E02000142,0.4,0.9257117952887837,8.116031601123595,4,10,2
E02000144,0.6,0.7116409232660565,8.478019714989822,5,9,2
E02000145,0,0.2833485999976361,33.56163361778576,1,3,9
E02000146,0,0.960066372940788,9.967636815920399,1,10,2
E02000147,1,0.9219762749174514,4.908987892870246,6,10,1
E02000148,0.75,0.7295765129899384,7.357472893827902,5,9,1
E02000149,0,0.21801359908647355,23.112002465483236,1,2,7
E02000150,0.6,0.6590493042952208,11.160133218390804,5,8,3
E02000151,1,0.9605623319247023,4.035781282586027,6,10,1
E02000152,0,0.6853248643641656,24.334110890565036,1,9,7
E02000153,0.8,0.7873411350195042,6.094153517050459,6,9,1
E02000154,0.2,0.2541733820196424,11.251371650717703,3,2,3
E02000155,0,0.3099181793964303,17.19982082429501,1,3,5
E02000156,0.75,0.83069303139002,6.711487266553481,5,10,1
E02000157,1,0.9593331295366444,5.383091201186357,6,10,1
E02000158,0.2,0.29973002489468936,18.094705116638742,3,3,5
E02000159,0.75,0.7956323701164149,7.260148747315677,5,10,1
E02000160,0.6,1,7.990305309181761,5,10,2
E02000161,0.8,0.8137367694431661,5.1688684997699035,6,10,1
E02000162,0.5,0.652575836327616,13.508810934592816,4,8,4
E02000163,0.6,0.6134780200855018,7.727085717952009,5,8,1
E02000165,0.6,0.7991876138161627,9.006367838910947,5,10,2
E02000166,0,0.3854783142339802,20.44251639344262,1,5,6
E02000167,1,0.9702997612041101,6.397151924839597,6,10,1
E02000168,0,0.24154059003286948,16.301063330040613,1,2,5
E02000169,1,1,5.946124186046513,6,10,1
E02000170,0.4,0.38647078695433096,13.196566253263708,4,5,4
E02000171,0,0.36555934128336165,14.361147302668938,1,4,4
E02000172,0,0.16510286648876646,29.422444004476198,1,1,8
E02000173,0.4,0.5061035615264705,8.938290639837215,4,6,2
E02000174,0,0.2799213583060079,21.866668215417107,1,3,7
E02000175,0.4,0.4810436437653651,15.199653641386238,4,6,5
E02000176,0.75,0.9005476244154673,8.016324858366726,5,10,2
E02000177,0,0.15973194638927785,27.632996899379872,1,1,8
E02000178,0,0.4078057125695837,26.68319258202568,1,5,8
E02000179,0,0.520075765934753,15.92515038434661,1,7,5
E02000180,0,0.28057568277729117,23.5154621785174,1,3,7
E02000181,0.4,0.40143151765134055,12.549205871648672,4,5,3
E02000182,0,0.49691641516861307,14.248015745965096,1,6,4
E02000183,0.2,0.3335999672352196,18.61980294504968,3,4,6
E02000184,0,0.46266505973590444,30.14434646824565,1,6,8
E02000185,0,0.4466116615938326,29.769352785985646,1,6,8
E02000186,0,0.25881561238223416,25.35959703903095,1,3,7
E02000187,0,0.817754438807863,34.75225391566265,1,10,9
E02000188,0,0.35827766009450873,28.46804810669207,1,4,8
E02000189,0,0.4754758980657046,28.462772490021493,1,6,8
E02000190,0,0.49875346260387815,23.143197738592004,1,6,7
E02000191,0,1,14.910271007639142,1,10,4
E02000192,0,0.36712078146950244,23.021447548106767,1,4,7
E02000193,0,0.46166153846153846,17.801022276923078,1,6,5
E02000194,0,0.42972339731329173,23.44658497221035,1,5,7
E02000195,0,0.8564474369874661,15.282819801980196,1,10,5
E02000196,0,0.36435319568432,24.416559833506764,1,4,7
E02000197,0,0.48131868131868133,20.895488907319095,1,6,6
E02000198,0,0.3337305718297584,31.28349655013799,1,4,8
E02000199,0,0.3721672587129304,21.93459211603696,1,4,7
E02000200,0,0.5414630835246691,26.74603756868902,1,7,8
E02000201,0,0.5085380246152772,32.375662321882245,1,7,9
E02000202,0,0.8803236168288134,21.210436688881092,1,10,6
E02000203,0,0.42230407605840947,31.876307135728542,1,5,8
E02000204,0,0.2200356566309919,23.33938686357534,1,2,7
E02000206,0,0.5985842472582252,32.66016979062811,1,8,9
E02000207,0,0.17866435385949697,28.9408804206418,1,1,8
E02000208,0,0.5148868225791303,37.00035305719921,1,7,9
E02000209,0,0.40874213836477985,25.654668953687825,1,5,7
E02000210,0,0.46348174334379866,18.30019387036167,1,6,6
E02000211,0,0.8332221899130884,10.669117249846533,1,10,3
E02000212,0,0.39571838446259106,29.82695001103509,1,5,8
E02000213,0,0.238296239447429,38.76390809669992,1,2,9
E02000214,0,0.7686205958260841,10.980857277142409,1,9,3
E02000215,0,0.42475523893865935,23.594019057357997,1,5,7
E02000216,0,0.7238304515619302,13.455914982678983,1,9,4
E02000217,0,0.2631747239320377,29.344598423127465,1,3,8
E02000218,0.25,0.48607632238102255,22.906992338293794,3,6,7
E02000219,0.4,0.5234653169966836,9.19818679145795,4,7,2
E02000220,0,0.2581910281259214,27.664538984296076,1,3,8
E02000221,0,0.49544370475857274,27.74406647317667,1,6,8
E02000222,0,0.3305279243340625,15.011405623471884,1,4,4
E02000223,0,0.4001059446733372,38.80256021188935,1,5,9
E02000224,0,0.26774635604833685,15.198427930733773,1,3,5
E02000225,0,0.17963836477987422,32.091960429769394,1,1,9
E02000226,0.2,0.6612724563234809,9.353797625260961,3,8,2
E02000227,0.125,0.2942860759837055,17.855985997766513,2,3,5
E02000228,1,0.9598774105050074,5.678492029352227,6,10,1
E02000229,0,0.6999104716480348,38.61102333283155,1,9,9
E02000230,0.3333333333333333,0.36337638422296875,15.020043971631205,4,4,4
E02000231,0.8,0.7685950952256718,8.918442212366294,6,9,2
E02000232,0.5,0.560377812437778,12.265697036569987,4,7,3
E02000233,0,0.5977463738085371,13.950693228346458,1,8,4
E02000234,0.2,0.20428220428220428,17.071025974025975,3,1,5
E02000235,0.5,0.4500911768831533,11.419714125403283,4,6,3
E02000236,0.4,0.6878690956443525,9.523745568167325,4,9,2
E02000237,0.6,0.7216084834064898,12.532055858664588,5,9,3
E02000238,0,0.5858086577646753,18.73264404859967,1,8,6
E02000239,0,0.7978450953638924,12.7684889134032,1,10,4
E02000240,0,0.1417384494909945,29.908371280344554,1,1,8
E02000241,0,0.4346759995014179,20.341377146240376,1,5,6
E02000242,0,0.7853999955086122,15.130992319726923,1,9,4
E02000243,0,0.42662749164650304,24.032607788915772,1,5,7
E02000244,0,0.2631663757217671,17.113022827984423,1,3,5
E02000245,0,0.4090804332795575,37.993874625489745,1,5,9
E02000246,0,0.36627365799008393,30.372713315217393,1,4,8
E02000247,0,0.15941751293351217,27.71270396627707,1,1,8
E02000248,0,0.37709498951811077,18.93524399894487,1,4,6
E02000249,0,0.5409796166717371,24.630608220937702,1,7,7
E02000250,0.75,0.9237850436392487,8.0784108040201,5,10,2
E02000251,0,0.5612659165341705,17.298753162922797,1,7,5
E02000252,0,0.4311177502864353,28.185328832552585,1,5,8
E02000253,0,0.356601558330665,33.80143238339204,1,4,9
E02000254,0,0.29212043250852515,22.690482822227345,1,3,7
E02000255,0,0.5765899537561076,21.19055711661083,1,7,6
E02000256,0,0.6169226013186134,14.112202417259684,1,8,4
E02000257,0.125,0.34938208520221803,16.08274297015462,2,4,5
E02000258,0,0.4844834915686552,18.524353407963723,1,6,6
E02000259,0,0.8012156218897009,14.812805883303701,1,10,4
E02000260,0,0.1911419423692636,26.54392113127001,1,1,8
E02000261,0,0.2119105996463935,23.57625087614326,1,2,7
E02000262,0,0.34685708103429624,26.466562263334414,1,4,8
E02000263,0,0.5800989945127769,29.491472479698135,1,7,8
E02000264,0,0.5605491411941491,18.1030026502831,1,7,5
E02000265,0,0.3039397881434678,27.64073759524252,1,3,8
E02000266,0,0.16157618515013336,36.88706065559666,1,1,9
E02000267,0,0.5882871836298984,19.028426202548992,1,8,6
E02000268,0,0.1933184855233853,20.64204977728285,1,1,6
